JobID,Y_prob,Y_pred,UserID,rank
110296,0.9894925363569276,1,13,0
242040,0.9887870950418233,1,13,1
997257,0.9608083176418237,1,13,2
11974,0.9575161922544724,1,13,3
1116150,0.46027100004603494,0,13,4
601850,0.4404131236831867,0,13,5
494993,0.25792516039471647,0,13,6
328664,0.24755283628760855,0,13,7
230268,0.24707507554382271,0,13,8
885417,0.24431426120100294,0,13,9
764500,0.2417004395735575,0,13,10
842053,0.23333068027475193,0,13,11
919556,0.23003024137788042,0,13,12
916743,0.2242219930171653,0,13,13
1057569,0.21103536899928635,0,13,14
498712,0.20254159134267435,0,13,15
258050,0.19203708687181562,0,13,16
265838,0.18472276571112134,0,13,17
28031,0.18357144717973736,0,13,18
823659,0.1714074640927824,0,13,19
320487,0.9607421802458468,1,514,0
668334,0.9495594029350659,1,514,1
614714,0.9220448770551967,1,514,2
1076104,0.528110528236642,1,514,3
525141,0.4403932215368705,0,514,4
755161,0.38791845532581776,0,514,5
664013,0.37190788361457183,0,514,6
196371,0.3608108484639128,0,514,7
38932,0.34762119429631944,0,514,8
609063,0.30058299375838116,0,514,9
334090,0.2976571773281419,0,514,10
457925,0.2974337616826264,0,514,11
480716,0.2973472419728766,0,514,12
1105755,0.29718103067967405,0,514,13
362271,0.287339576252083,0,514,14
487165,0.2871683412912032,0,514,15
219667,0.28391627738516184,0,514,16
814408,0.2834369319844837,0,514,17
1096365,0.28301842047307296,0,514,18
465157,0.27915565545524607,0,514,19
777957,0.9600606135825732,1,681,0
48779,0.956034152245846,1,681,1
617606,0.9553525418775443,1,681,2
759515,0.9550505542234818,1,681,3
954481,0.9534022888967896,1,681,4
736476,0.9367603036981581,1,681,5
551679,0.2604299714834577,0,681,6
365727,0.21835159632739387,0,681,7
166326,0.17170374357609358,0,681,8
325869,0.16627846785436828,0,681,9
996746,0.15321552747944356,0,681,10
1012615,0.12498009177399243,0,681,11
158277,0.12451503947276588,0,681,12
920380,0.12076697937063025,0,681,13
349586,0.11012211165726306,0,681,14
696172,0.10269976696371885,0,681,15
576790,0.09755374481373866,0,681,16
758570,0.09632048254041499,0,681,17
454713,0.0954169293891457,0,681,18
887688,0.09514826470199282,0,681,19
467858,0.9623587209866507,1,767,0
737568,0.9605857682736441,1,767,1
480138,0.9597475248689502,1,767,2
465672,0.9455050704123302,1,767,3
277313,0.9343043321531187,1,767,4
636336,0.9319670194071596,1,767,5
373241,0.9318250074484966,1,767,6
175291,0.9293352037056388,1,767,7
1005006,0.30900125377672405,0,767,8
611137,0.24510725112555878,0,767,9
759635,0.215577083766551,0,767,10
243961,0.21555864949241538,0,767,11
597394,0.21408555821349382,0,767,12
954723,0.199907035596565,0,767,13
566294,0.18966643722907667,0,767,14
211249,0.18696421841626654,0,767,15
116964,0.1812966934841198,0,767,16
279919,0.17829045732260582,0,767,17
586140,0.16728161797457408,0,767,18
879258,0.13869303876418287,0,767,19
447390,0.952771500254826,1,883,0
1101721,0.8410048082938645,1,883,1
664973,0.8115616273986657,1,883,2
1041638,0.2980779259429535,0,883,3
591376,0.20304902555293375,0,883,4
586700,0.19312551578652004,0,883,5
467794,0.16694895369099108,0,883,6
284287,0.1630976012016064,0,883,7
315258,0.16063742102059253,0,883,8
153348,0.12796593216319258,0,883,9
233091,0.12136122780748657,0,883,10
41844,0.12059907777011358,0,883,11
195149,0.11982998703053371,0,883,12
160602,0.11727180168170233,0,883,13
678920,0.11653436678759443,0,883,14
1095354,0.11570374144608443,0,883,15
38019,0.11329770545348893,0,883,16
490779,0.11232596737866501,0,883,17
315252,0.11047739409682635,0,883,18
470445,0.11029887716639375,0,883,19
1082582,0.9668119837500408,1,1006,0
797036,0.9642287217302644,1,1006,1
15356,0.18748195380915564,0,1006,2
928071,0.15254902347830396,0,1006,3
50156,0.15091791815011876,0,1006,4
513671,0.14670284547685722,0,1006,5
278007,0.1455874349086614,0,1006,6
1008772,0.14419348792706896,0,1006,7
885637,0.13654082862483652,0,1006,8
26633,0.13340485513133407,0,1006,9
843674,0.1300123615171368,0,1006,10
266211,0.126014862754981,0,1006,11
614729,0.10999910152361746,0,1006,12
758872,0.10767565321547719,0,1006,13
946645,0.10764159317825105,0,1006,14
1021346,0.10740770813638316,0,1006,15
1090164,0.10192540572336294,0,1006,16
398146,0.10186899193972382,0,1006,17
