UserID,JobID,Y_prob,Y_pred,rank
13,248446,0.9707982709870885,1,0
13,367918,0.9372268618516721,1,1
13,580991,0.4450081158165001,0,2
13,172155,0.35176199576506373,0,3
13,799192,0.3404051810963866,0,4
13,241804,0.32182106271111593,0,5
13,872594,0.31950113123100793,0,6
13,876016,0.3099689367288884,0,7
13,602061,0.3050320114461424,0,8
13,979883,0.28978927825533396,0,9
13,1100319,0.2779876233913631,0,10
13,491220,0.2751566832017914,0,11
13,824471,0.26071679797357666,0,12
13,641999,0.25611914330214613,0,13
13,864858,0.24213572617650933,0,14
13,259223,0.2418755939044124,0,15
13,568514,0.23925681805749052,0,16
13,741104,0.23379788755654093,0,17
13,198371,0.2235753269165983,0,18
13,134765,0.22187926115133422,0,19
514,63484,0.9487328950260528,1,0
514,1047070,0.9296353766820672,1,1
514,219303,0.926964343471776,1,2
514,1027787,0.3807268845476512,0,3
514,1103279,0.3730881004496492,0,4
514,1092725,0.29787575303350616,0,5
514,17581,0.2816362919658206,0,6
514,266211,0.2811738016261805,0,7
514,732146,0.2781504544245911,0,8
514,234702,0.2712596107799019,0,9
514,572131,0.2689213225139564,0,10
514,284004,0.24848683239774433,0,11
514,942740,0.23940766852225082,0,12
514,919266,0.23080892752305052,0,13
514,945747,0.22566063100305903,0,14
514,884977,0.21561234023524498,0,15
514,853642,0.20906447024102198,0,16
514,338249,0.20636804356917443,0,17
514,196524,0.2006148693400483,0,18
514,156782,0.1956780155466119,0,19
681,877828,0.9772363909295609,1,0
681,774047,0.9515702006326067,1,1
681,207418,0.9446707176320187,1,2
681,841172,0.9373124882393216,1,3
681,672379,0.9287225211727801,1,4
681,1068406,0.9263712729686199,1,5
681,54495,0.9225111812939017,1,6
681,54508,0.914188319191063,1,7
681,1035073,0.9075579587143012,1,8
681,779178,0.901374601016776,1,9
681,649927,0.8976588956592201,1,10
681,985474,0.8928054444998875,1,11
681,636384,0.8801905930072754,1,12
681,117609,0.8575547395771014,1,13
681,876810,0.3236491725206323,0,14
681,616560,0.2916769216411069,0,15
681,1061551,0.2557785061191548,0,16
681,273685,0.23268430841288287,0,17
681,450776,0.20708257762181367,0,18
681,652376,0.19888907180056764,0,19
767,747083,0.9813638390001409,1,0
767,1022086,0.9553691626541201,1,1
767,777828,0.9258919482411274,1,2
767,762276,0.9210665981461094,1,3
767,36951,0.9157331215391155,1,4
767,598185,0.911819781647472,1,5
767,761257,0.9047419370151466,1,6
767,783997,0.8827351465249518,1,7
767,46632,0.8779842192469918,1,8
767,288196,0.8649250045139044,1,9
767,1067364,0.8620437601120673,1,10
767,828844,0.8459186831523834,1,11
767,182399,0.838498954090791,1,12
767,312014,0.3144604454086522,0,13
767,639090,0.25296253254979273,0,14
767,326664,0.2381884463755374,0,15
767,943689,0.23644708102498074,0,16
767,209453,0.2356078705533711,0,17
